,Cumulative Return,CAGR,Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Win Rate vs 60/40
Warsh_Return,0.4551760309190682,0.09831997757401645,0.10010488150259512,0.9821696614412115,-0.10967416179691927,0.8964734807462941,0.6170212765957447
60/40_Return,0.29542086160334136,0.06684842814007252,0.12025635101529565,0.555882725325417,-0.2050749712448304,0.32597068152341707,
SPY_Return,0.6829928696355514,0.13899172537743798,0.16217318935144454,0.8570573590695676,-0.23927169523517633,0.580894974814406,0.6595744680851063
